Date,VOC (ppm), Temperature (C), Humidity (%),Pressure (hPa),PM1,PM2.5,PM10,PM4
2020-05-19 16:40:31,1.192,19.4,52,101930,16777215,16777215,16777215,16777215
2020-05-19 16:50:31,1.222,19.5,49,101920,16777215,16777215,16777215,16777215
2020-05-19 17:00:32,1.173,19.5,49,1019.2,167772.15,167772.15,167772.15,167772.15
2020-05-19 17:10:32,0.555,21.5,46,1018.9,167772.15,167772.15,167772.15,167772.15
2020-05-19 17:20:33,0.93,22.0,45,1019.0,167772.15,167772.15,167772.15,167772.15
2020-05-19 17:30:31,0.63,22.8,43,1019.1,167772.15,167772.15,167772.15,167772.15
2020-05-19 17:50:31,0.357,21.2,47,1018.9,167772.15,167772.15,167772.15,167772.15
2020-05-19 18:00:32,0.778,20.0,49,1018.9,3.87,5.58,6.44,4.09
2020-05-19 18:10:31,1.147,19.7,49,1019.0,167772.15,167772.15,167772.15,167772.15
2020-05-19 18:20:31,1.185,19.5,49,1018.9,167772.15,167772.15,167772.15,167772.15
2020-05-19 18:30:32,1.16,19.4,53,1018.9,167772.15,167772.15,167772.15,167772.15
2020-05-19 18:40:33,1.133,19.3,52,1018.9,167772.15,167772.15,167772.15,167772.15
2020-05-19 19:00:31,1.056,19.4,52,1019.0,167772.15,167772.15,167772.15,167772.15
2020-05-19 21:10:33,0.837,18.6,55,1019.1,167772.15,167772.15,167772.15,167772.15
2020-05-19 21:20:28,1.219,18.8,53,1019.1,3.49,5.65,7.2,4.99
2020-05-20 10:30:26,1.182,18.7,49,1017.1,6.96,9.44,11.12,8.8
2020-05-20 12:10:28,0.344,19.2,43,1016.6,2.37,4.1,5.32,3.21
2020-05-20 13:50:33,0.372,19.2,38,1016.3,1.44,2.62,3.57,1.53
2020-05-20 15:30:26,0.627,27.5,20,1015.8,2.38,4.64,6.36,4.06
2020-05-20 19:00:26,0.365,18.5,50,1014.7,5.08,6.97,8.18,5.91
2020-05-20 20:40:27,1.155,19.0,49,1015.0,6.86,9.13,11.11,8.62
2020-05-22 14:20:34,0.001,22.1,38,1013.1,2.72,7.7,11.98,9.15
2020-05-22 16:00:33,0.063,18.1,43,1013.4,2.33,7.72,12.37,9.37
2020-05-22 17:40:35,0.045,18.0,41,1013.8,2.44,7.26,11.33,8.5
2020-05-22 20:30:35,0.172,17.5,44,1014.9,20.71,25.08,27.57,25.11
2020-05-22 20:40:42,0.123,18.0,46,1015.1,10.87,13.9,16.22,13.57
2020-05-22 21:10:44,0.158,17.7,44,1015.3,4.58,9.02,13.48,10.57
2020-06-01 14:50:44,0.07,32.6,41,1017.2,1.33,2.69,3.52,1.41
2020-06-01 17:00:35,0.001,21.8,33,1016.5,1.23,2.36,3.59,1.3
2020-06-01 18:40:33,0.132,21.5,35,1016.3,1.94,3.08,4.52,2.05
2020-06-01 20:20:39,0.09,21.3,40,1016.5,2.22,3.93,5.4,2.97
2020-06-01 22:00:37,0.141,22.5,39,1017.2,2.46,3.79,4.74,2.6
2020-06-02 08:31:37,0.061,22.4,44,1016.7,4.8,6.5,7.28,5.07
2020-06-02 10:30:40,0.047,28.8,31,1016.4,1.17,3.57,5.67,3.26
